song,date
/single/Body/Loud%20Luxury%20Featuring%20Brando/,2019-01-19
/single/Butterfly%20Doors/Lil%20Pump/,2019-01-19
/single/Love%20Someone/Lukas%20Graham/,2019-01-19
/single/Space%20Cadet/Metro%20Boomin%20Featuring%20Gunna/,2019-01-19
/single/Lost%20In%20Japan/Shawn%20Mendes%20X%20Zedd/,2019-01-19
/single/Love%20Wins/Carrie%20Underwood/,2019-01-19
/single/Nuketown/Ski%20Mask%20The%20Slump%20God%20Featuring%20Juice%20WRLD/,2019-01-19
/single/Valuable%20Pain/YoungBoy%20Never%20Broke%20Again/,2019-01-19
/single/Here%20Tonight/Brett%20Young/,2019-01-19
/single/Close%20Friends/Lil%20Baby/,2019-01-19
/single/Monster/21%20Savage/,2019-01-19
/single/Roses/Benny%20Blanco%20%26%20Juice%20WRLD%20Featuring%20Brendon%20Urie/,2019-01-19
/single/Make%20It%20Sweet/Old%20Dominion/,2019-01-19
/single/Burn%20Out/Midland/,2019-01-19
/single/Good%20Form/Nicki%20Minaj%20Featuring%20Lil%20Wayne/,2019-01-19
/single/Demons%20and%20Angels/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Juice%20WRLD/,2019-01-19
/single/KIKA/6ix9ine%20Featuring%20Tory%20Lanez/,2019-01-19
/single/Ocean%20Eyes/Billie%20Eilish/,2019-01-19
/single/idontwannabeyouanymore/Billie%20Eilish/,2019-01-19
/single/Dip/Tyga%20%26%20Nicki%20Minaj/,2019-01-19
/single/Lucky%20You/Eminem%20Featuring%20Joyner%20Lucas/,2019-01-19
/single/Without%20Me/Halsey/,2019-01-26
/single/Sunflower%20%28Spider-Man%3A%20Into%20The%20Spider-Verse%29/Post%20Malone%20%26%20Swae%20Lee/,2019-01-26
/single/Sicko%20Mode/Travis%20Scott/,2019-01-26
/single/High%20Hopes/Panic%21%20At%20The%20Disco/,2019-01-26
/single/Thank%20U%2C%20Next/Ariana%20Grande/,2019-01-26
/single/Happier/Marshmello%20%26%20Bastille/,2019-01-26
/single/Girls%20Like%20You/Maroon%205%20Featuring%20Cardi%20B/,2019-01-26
/single/Drip%20Too%20Hard/Lil%20Baby%20%26%20Gunna/,2019-01-26
/single/Wow./Post%20Malone/,2019-01-26
/single/ZEZE/Kodak%20Black%20Featuring%20Travis%20Scott%20%26%20Offset/,2019-01-26
/single/Eastside/Benny%20Blanco%2C%20Halsey%20%26%20Khalid/,2019-01-26
/single/Wake%20Up%20In%20The%20Sky/Gucci%20Mane%20x%20Bruno%20Mars%20x%20Kodak%20Black/,2019-01-26
/single/Money/Cardi%20B/,2019-01-26
/single/Mo%20Bamba/Sheck%20Wes/,2019-01-26
/single/Better%20Now/Post%20Malone/,2019-01-26
/single/Youngblood/5%20Seconds%20Of%20Summer/,2019-01-26
/single/Going%20Bad/Meek%20Mill%20Featuring%20Drake/,2019-01-26
/single/Breathin/Ariana%20Grande/,2019-01-26
/single/Taki%20Taki/DJ%20Snake%20Featuring%20Selena%20Gomez%2C%20Ozuna%20%26%20Cardi%20B/,2019-01-26
/single/MIA/Bad%20Bunny%20Featuring%20Drake/,2019-01-26
/single/Leave%20Me%20Alone/Flipp%20Dinero/,2019-01-26
/single/Better/Khalid/,2019-01-26
/single/Lucid%20Dreams/Juice%20WRLD/,2019-01-26
/single/Shallow/Lady%20Gaga%20%26%20Bradley%20Cooper/,2019-01-26
/single/Speechless/Dan%20%2B%20Shay/,2019-01-26
/single/Beautiful/Bazzi%20Featuring%20Camila%20Cabello/,2019-01-26
/single/Lost%20In%20The%20Fire/Gesaffelstein%20%26%20The%20Weeknd/,2019-01-26
/single/Love%20Lies/Khalid%20%26%20Normani/,2019-01-26
