date,track,artist
2019-02-09,Love Lies,Khalid   Normani
2019-02-09,Beautiful Crazy,Luke Combs
2019-02-09,You Say,Lauren Daigle
2019-02-09,Look Back At It,A Boogie Wit da Hoodie
2019-02-09,I Like It,Cardi B  Bad Bunny   J Balvin
2019-02-09,Lost In The Fire,Gesaffelstein   The Weeknd
2019-02-09,Envy Me,Calboy
2019-02-09,Be Alright,Dean Lewis
2019-02-09,Swervin,A Boogie Wit da Hoodie  6ix9ine
2019-02-09,Twerk,City Girls  Cardi B
2019-02-09,Backin  It Up,Pardison Fontaine  Cardi B
2019-02-09,Girl Like You,Jason Aldean
2019-02-09,This Is It,Scotty McCreery
2019-02-09,Sixteen,Thomas Rhett
2019-02-09,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus
2019-02-09,This Feeling,The Chainsmokers  Kelsea Ballerini
2019-02-09,Burning Man,Dierks Bentley  Brothers Osborne
2019-02-09,Undecided,Chris Brown
2019-02-09,Best Shot,Jimmie Allen
2019-02-09,Pure Cocaine,Lil Baby
2019-02-09,First Off,Future  Travis Scott
2019-02-09,Uproar,Lil Wayne
2019-02-09,Good Girl,Dustin Lynch
