date,track,artist,URI
2019-02-16,Miss Me More,Kelsea Ballerini,spotify:track:5NfJGBAL9mgFPRQxKJmiX2
2019-02-23,Break Up With Your Girlfriend  I m Bored,Ariana Grande,spotify:track:4kV4N9D1iKVxx1KLvtTpjS
2019-02-23,Needy,Ariana Grande,spotify:track:1TEL6MlSSVLSdhOSddidlJ
2019-02-23,NASA,Ariana Grande,spotify:track:4uTvPEr01pjTbZgl7jcKBD
2019-02-23,Bloodline,Ariana Grande,spotify:track:2hloaUoRonYssMuqLCBLTX
2019-02-23,Ghostin,Ariana Grande,spotify:track:2vdBo4ALPYbHRUPKgtE5iC
2019-02-23,Fake Smile,Ariana Grande,spotify:track:3wFLWP0FcIqHK1wb1CPthQ
2019-02-23,Bad Idea,Ariana Grande,spotify:track:5Il6Oe7lr5XM7A0cWbVQtr
2019-02-23,In My Head,Ariana Grande,spotify:track:4T652DlATVHe0jdLKaN3Bw
2019-02-23,Talk,Khalid,spotify:track:6TqXcAFInzjp0bODyvrWEq
2019-02-23,Make Up,Ariana Grande,spotify:track:27356GVuMPFWiJSZCragoM
2019-02-23,Who Do You Love,The Chainsmokers  5 Seconds Of Summer,spotify:track:2fVHrSxsQbJUuj9MW9zG1e
2019-02-23,Rainbow,Kacey Musgraves,spotify:track:79qxwHypONUt3AFq0WPpT9
2019-03-02,Please Me,Cardi B   Bruno Mars,spotify:track:0PG9fbaaHFHfre2gUVo7AN
2019-03-02,Robbery,Juice WRLD,spotify:track:6iaSML1PIYq936g62BDtBq
2019-03-02,Red Room,Offset,spotify:track:4TWflhgevIGo448fWc6mQq
2019-03-02,Talk You Out Of It,Florida Georgia Line,spotify:track:4qQwGRtGT7l6ckQtdPEFd4
2019-03-02,Eyes On You,Chase Rice,spotify:track:4w95iGC6NrxZJ5o3D7bWyV
2019-03-02,365,Zedd   Katy Perry,spotify:track:2XWjPtKdi5sucFYtVav07d
2019-03-02,Worth It,YK Osiris,spotify:track:0PQoUlzP7ILdcrzpajHXc0
2019-03-02,There Was This Girl,Riley Green,spotify:track:7grWGhX8SHNmyGOkMNVMCt
2019-03-02,One That Got Away,Michael Ray,spotify:track:2TLDilmv1UmRTfyb7f2Hrx
2019-03-09,Always Remember Us This Way,Lady Gaga,spotify:track:2rbDhOo9Fh61Bbu23T2qCk
2019-03-09,Legacy,Offset  Travis Scott   21 Savage,spotify:track:7pMRoGLEJuFM2wl5pt0R99
2019-03-09,Walk Me Home,P nk,spotify:track:6jfEZdUJ2Yla6h7gTJgKuo
2019-03-09,I ll Never Love Again,Lady Gaga,spotify:track:4A7EkKijzA4ryEoCRWJzdG
2019-03-09,Clout,Offset  Cardi B,spotify:track:59ywHNwwchG4nZJMLyxSzd
2019-03-09,How Did I Get Here,Offset   J. Cole,spotify:track:32iPykTXUNZ9oGyACGUybq
2019-03-09,Outstanding,Gunna,spotify:track:76PwajqH3ej4hnk9tgaJpp
2019-03-09,Be Like Me,Lil Pump  Lil Wayne,spotify:track:6flur5o18COKeafnjLHRiJ
2019-03-09,3 Headed Snake,Gunna  Young Thug,spotify:track:2OaKHGvIxoOzIYjyMsxcT8
2019-03-09,Wit It,Gunna,spotify:track:1unFtbwcAnSGgYPmp52vc0
2019-03-09,Lick,Offset,spotify:track:4W9XGjEUVG9junR70FOLii
2019-03-09,Girls Need Love,Summer Walker Drake,spotify:track:14SaZBTjxlorHJQxXh01Hu
2019-03-09,Speed It Up,Gunna,spotify:track:6PfI6EeLNiNGVAVg11nv7D
2019-03-09,I Guess I Just Feel Like,John Mayer,spotify:track:4Im6GRj17qa7NW76OsJh1s
2019-03-09,Good As You,Kane Brown,spotify:track:19kUPdKTp85q9RZNwaXM15
2019-03-09,Same Yung N   a,Gunna  Playboi Carti,spotify:track:1q9jq5X5vwmewjOa2mHtQ1
2019-03-09,Faucet Failure,Ski Mask The Slump God,spotify:track:1ThmUihH9dF8EV08ku5AXN
2019-03-16,Sucker,Jonas Brothers,spotify:track:22vgEDb5hykfaTwLuskFGD
2019-03-16,I,Lil Skies,spotify:track:4ZT9FnbFu1PaBfV3itxiqT
2019-03-16,Look What God Gave Her,Thomas Rhett,spotify:track:2KqJC0koTBUyDlsMt5ok1V
2019-03-16,Hear Me Calling,Juice WRLD,spotify:track:2MFFrpPKrGnyJuVjcfdm4w
2019-03-16,Bad Liar,Imagine Dragons,spotify:track:2RSHsoi04658QL5xgQVov3
2019-03-16,Wish You Were Gay,Billie Eilish,spotify:track:3Fj47GNK2kUF0uaEDgXLaD
2019-03-16,Whip,2 Chainz  Travis Scott,spotify:track:6Z4rmc0uujCpl8yXe3yjgI
2019-03-16,Act Up,City Girls,spotify:track:3A2yGHWIzmGEIolwonU69h
2019-03-16,Old Town Road,Lil Nas  Billy Ray Cyrus,spotify:track:2YpeDb67231RjR0MgVLzsG
2019-03-16,Whiskey Glasses,Morgan Wallen,spotify:track:6foY66mWZN0pSRjZ408c00
2019-03-16,I Can t Get Enough,Benny Blanco  Tainy  Selena Gomez   J Balvin,spotify:track:1WSGTYKLEpKfNQYYW5Oymt
